route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
100,11,942093,Glen Osmond,,1,3264,14681,1
100,11,942094,Glen Osmond,,1,3110,14681,1
100,11,942095,Arndale,,0,3241,14678,1
100,11,942096,Glen Osmond,,1,3182,14681,1
100,11,942097,Glen Osmond,,1,3108,14681,1
100,11,942098,Arndale,,0,3244,14678,1
100,11,942099,Arndale,,0,3151,14678,1
100,11,942100,Glen Osmond,,1,3174,13815,1
100,11,942101,Arndale,,0,3174,14678,1
100,11,942102,Arndale,,0,3224,14678,1
100,11,942103,Arndale,,0,3300,14678,1
100,11,942104,Glen Osmond,,1,3225,14681,1
100,11,942105,Glen Osmond,,1,3243,14681,1
100,11,942106,Arndale,,0,3248,14679,1
100,11,942107,Glen Osmond,,1,3255,13815,1
100,11,942108,Arndale,,0,3255,14678,1
100,11,942109,Arndale,,0,3242,14678,1
100,11,942110,Arndale,,0,3184,14679,1
100,11,942111,Glen Osmond,,1,3219,14681,1
100,11,942112,Glen Osmond,,1,3200,14681,1
100,11,942113,Glen Osmond,,1,3276,14681,1
100,4,1022306,Glen Osmond,,1,3602,14681,1
100,4,1022307,Arndale,,0,3603,14678,1
100,17,1022308,Glen Osmond,,1,3488,14681,1
100,17,1022310,Glen Osmond,,1,3415,14681,1
100,17,1022311,Arndale,,0,3657,14678,1
100,17,1022312,Glen Osmond,,1,3602,14681,1
100,3,1022313,Glen Osmond,,1,3602,14681,1
100,3,1022314,Arndale,,0,3603,14678,1
100,7,1022315,Arndale,,0,3429,14678,1
100,7,1022316,Arndale,,0,3585,14678,1
100,6,1022317,Arndale,,0,3429,14678,1
100,6,1022318,Arndale,,0,3585,14678,1
100,69,1022319,Glen Osmond,,1,3602,14681,1
100,59,1022320,Arndale,,0,3603,14678,1
100,9,1022321,Glen Osmond,,1,3488,14681,1
100,1,1022322,Glen Osmond,,1,3541,14681,1
100,9,1022323,Arndale,,0,3657,14678,1
100,9,1022324,Glen Osmond,,1,3415,14681,1
100,1,1022325,Glen Osmond,,1,3444,14681,1
100,1,1022326,Glen Osmond,,1,3770,14681,1
100,21,1022327,Arndale,,0,3458,14680,1
100,1,1022328,Glen Osmond,,1,3314,14681,1
100,21,1022329,Arndale,,0,3159,14678,1
100,1,1022330,Glen Osmond,,1,3264,14681,1
100,1,1022331,Arndale,,0,3575,14678,1
100,1,1022332,Arndale,,0,3410,14678,1
100,1,1022333,Glen Osmond,,1,3392,14681,1
100,1,1022334,Arndale,,0,3557,14678,1
100,1,1022335,Glen Osmond,,1,3415,14681,1
100,1,1022336,Arndale,,0,3246,14678,1
100,1,1022337,Arndale,,0,3137,14678,1
100,1,1022338,Arndale,,0,3340,14678,1
100,1,1022339,Glen Osmond,,1,3519,14681,1
100,1,1022340,Arndale,,0,3541,14678,1
100,1,1022341,Glen Osmond,,1,3390,14681,1
100,1,1022342,Glen Osmond,,1,3148,14681,1
100,1,1022343,Glen Osmond,,1,3245,14681,1
100,1,1022344,Arndale,,0,3692,14678,1
100,1,1022345,Glen Osmond,,1,3129,14682,1
100,1,1022346,Glen Osmond,,1,3129,14681,1
100,1,1022347,Arndale,,0,3432,14678,1
100,1,1022348,Arndale,,0,3580,14678,1
100,1,1022349,Arndale,,0,3440,14678,1
100,1,1022350,Arndale,,0,3385,14678,1
100,21,1022351,Arndale,,0,3158,10355,1
100,1,1022352,Glen Osmond,,1,3259,14681,1
100,1,1022353,Glen Osmond,,1,3265,14681,1
100,21,1022354,Arndale,,0,3336,14678,1
100,1,1022355,Arndale,,0,3148,14678,1
100,1,1022356,Glen Osmond,,1,3470,14681,1
100,21,1022357,Arndale,,0,3644,14678,1
100,21,1022358,Glen Osmond,,1,3633,13815,1
100,1,1022359,Glen Osmond,,1,3644,14681,1
100,21,1022360,Arndale,,0,3753,14679,1
100,1,1022361,Glen Osmond,,1,3689,14681,1
100,1,1022362,Arndale,,0,3249,14679,1
100,1,1022363,Arndale,,0,3387,14678,1
100,1,1022364,Arndale,,0,3325,14679,1
100,1,1022365,Arndale,,0,3443,14678,1
100,1,1022366,Glen Osmond,,1,3454,13815,1
100,21,1022367,Glen Osmond,,1,3105,14682,1
100,1,1022368,Glen Osmond,,1,3231,14681,1
100,21,1022369,Glen Osmond,,1,3613,13815,1
100,1,1022370,Arndale,,0,3426,14679,1
100,1,1022371,Glen Osmond,,1,3346,14681,1
100,1,1022372,Glen Osmond,,1,3226,14681,1
100,1,1022373,Glen Osmond,,1,3706,14681,1
100B,43,1022374,Brooklyn Park,,0,1022374,13972,1
100B,44,1022375,Brooklyn Park,,0,3664,13972,1
100B,21,1022376,Brooklyn Park,,1,3421,11118,1
100C,21,1022377,Urrbrae Agricultural High School,,1,3710,13804,1
100C,21,1022378,Urrbrae Agricultural High School,,1,3729,13805,1
100C,21,1022379,Urrbrae Agricultural High School,,1,3629,13803,1
100C,21,1022380,Urrbrae Agricultural High School,,1,3723,13803,1
100N,43,1022382,Netley,,0,1022382,13806,1
100N,44,1022384,Netley,,0,3334,13806,1
100P,11,942114,Plympton,,1,3300,14683,1
100P,11,942115,Plympton,,0,3243,13807,1
100P,11,942116,Plympton,,0,3383,13807,1
100P,17,1022385,Plympton,,0,3774,13807,1
100P,43,1022386,Plympton,,0,1022386,15201,1
100P,17,1022387,Plympton,,0,3608,13807,1
100P,16,1022388,Plympton,,0,3608,13807,1
100P,6,1022389,Plympton,,0,3608,13807,1
100P,9,1022390,Plympton,,0,3774,13807,1
100P,44,1022391,Plympton,,0,3699,15201,1
100P,1,1022392,Plympton,,1,3505,14683,1
100P,1,1022393,Plympton,,0,3127,13807,1
100P,1,1022394,Plympton,,0,3127,13807,1
